2018-03-19 16:35:22,618 INFO  [org.jboss.modules] (main) JBoss Modules version 1.6.1.Final
2018-03-19 16:35:39,303 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://127.0.0.1:9990 and https://127.0.0.1:-1
2018-03-19 16:35:39,303 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) (Host Controller) started in 17356ms - Started 77 of 79 services (23 services are lazy, passive or on-demand)
2018-03-19 16:42:46,546 INFO  [org.jboss.as.host.controller] (main) WFLYHC0179: ProcessController has signalled to shut down; shutting down
2018-03-19 16:42:46,624 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 39) WFLYHC0024: Stopping server server-one
2018-03-19 16:42:46,624 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 39) WFLYHC0024: Stopping server server-two
2018-03-19 16:42:47,187 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0027: Unregistering server server-two
2018-03-19 16:42:47,265 INFO  [org.jboss.as.host.controller] (management task-3) WFLYHC0027: Unregistering server server-one
2018-03-19 16:42:47,359 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server server-two
2018-03-19 16:42:47,406 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server server-one
2018-03-19 16:42:47,421 INFO  [org.jboss.as] (MSC service thread 1-6) WFLYSRV0050: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) stopped in 810ms
